REGULAR RARES AND REGULAR MYTHIC RARES PRICES

To search for a card type control+f
Bot accounts: pisiiki3, supernova01, bifidus, ComparePrices, tina16, mteamtester, supernova02, pisiiki2

Name                                               Buy       Sell      Bot Account[Stock Available]

=== Dragon's Maze === [Total Buy/Sell Value: 70/82] ==============================================================================================

Boros Battleshaper [DGM]                           0.01      0.022     pisiiki3[1] bifidus[1] supernova01[1] supernova02[2]
Trait Doctoring [DGM]                              0.01      0.022     tina16[1] pisiiki2[1] pisiiki3[3]
Pontiff of Blight [DGM]                            0.012     0.028     pisiiki3[3] tina16[1]
Emmara Tandris [DGM]                               0.012     0.028     bifidus[1] supernova02[1] supernova01[2] pisiiki3[4]
Mirko Vosk, Mind Drinker [DGM]                     0.014     0.03      supernova01[2] ComparePrices[1] pisiiki3[1]
Zhur-Taa Ancient [DGM]                             0.014     0.03      pisiiki3[1] supernova01[1]
Melek, Izzet Paragon [DGM]                         0.014     0.03      supernova02[1] supernova01[1] pisiiki3[2]
Lavinia of the Tenth [DGM]                         0.014     0.03      pisiiki2[1] supernova01[2] bifidus[2] tina16[1] pisiiki3[4]
Teysa, Envoy of Ghosts [DGM]                       0.016     0.034     supernova01[2] ComparePrices[1] tina16[3] supernova02[1] pisiiki3[1] pisiiki2[1] bifidus[1]
Pyrewild Shaman [DGM]                              0.018     0.036     supernova02[1] tina16[2] pisiiki3[3]
Catch/Release [DGM]                                0.018     0.036     bifidus[1] supernova02[1]
Dragonshift [DGM]                                  0.018     0.036     supernova02[1] bifidus[2] pisiiki2[2]
Flesh/Blood [DGM]                                  0.018     0.038     tina16[1] ComparePrices[1] bifidus[1] pisiiki3[3]
Scion of Vitu-Ghazi [DGM]                          0.02      0.038     pisiiki3[4] ComparePrices[1] pisiiki2[4] tina16[1]
Possibility Storm [DGM]                            0.022     0.042     ComparePrices[2] pisiiki3[3] supernova01[2] tina16[1] pisiiki2[1]
Tajic, Blade of the Legion [DGM]                   0.024     0.046     tina16[2] bifidus[3] ComparePrices[1] pisiiki3[1] supernova01[2] supernova02[1]
